variant,canonical_domain
gouvernance des données,Data Governance
Gouvernance des données,Data Governance
Data Governance,Data Governance
Data governance,Data Governance
analyse de données,Data Analysis
Data Analysis,Data Analysis
Data analysis,Data Analysis
Analyse de données,Data Analysis
data analysis,Data Analysis
Machine Learning,Machine Learning
machine learning,Machine Learning
qualité des données,Data Quality
Qualité des données,Data Quality
Data Quality,Data Quality
Business Intelligence,Business Intelligence
BI,Business Intelligence
Data Engineering,Data Engineering
Data engineering,Data Engineering
gestion de projet,Project Management
Gestion de projet,Project Management
Data Science,Data Science
data science,Data Science
Deep Learning,Deep Learning
deep learning,Deep Learning
architecture data,Data Architecture
Architecture data,Data Architecture
Data Architecture,Data Architecture
Cloud,Cloud computing
Cloud computing,Cloud computing
Cloud Computing,Cloud computing
Data Visualization,Data Visualization
Data Visualisation,Data Visualization
