code_postal,nom_commune
01100,Apremont
01300,Ambléon
03000,Avermes
06150,Cannes
06410,Biot
06510,Bézaudun-les-Alpes
06560,Valbonne
06610,La Gaude
06800,Cagnes-sur-Mer
09100,Arvigna
10400,Avant-lès-Marcilly
11800,Aigues-Vives
13001,Marseille
13009,Marseille
13080,Aix-en-Provence
13107,NON_RESOLU
13122,Ventabren
13600,Ceyreste
13700,Marignane
13790,Châteauneuf-le-Rouge
16000,Angoulême
21000,Dijon
25290,Cademène
26000,Valence
27000,Évreux
29490,Guipavas
30000,Nîmes
31000,Toulouse
31700,Beauzelle
31770,Colomiers
33000,Bordeaux
33160,Saint-Aubin-de-Médoc
33600,Pessac
33700,Mérignac
34000,Montpellier
34470,Pérols
35000,Rennes
35170,Bruz
35510,Cesson-Sévigné
35760,Montgermont
36200,Argenton-sur-Creuse
37000,Tours
37420,Avoine
38000,Grenoble
39130,Barésia-sur-l'Ain
40000,Mont-de-Marsan
42000,Saint-Étienne
44000,Nantes
44240,La Chapelle-sur-Erdre
44300,Nantes
45000,Orléans
45160,Ardon
45340,Auxy
46100,Béduer
49000,Angers
49300,Cholet
50260,Breuville
51100,Reims
51520,Recy
53000,Laval
54000,Nancy
54600,Villers-lès-Nancy
55300,Ambly-sur-Meuse
56000,Vannes
56100,Lorient
56250,Elven
57000,Metz
57300,Ay-sur-Moselle
59000,Lille
59100,Roubaix
59170,Croix
59175,Templemars
59260,Lezennes
59491,Villeneuve-d'Ascq
59810,Lesquin
62138,Auchy-les-Mines
62300,Éleu-dit-Leauwette
63000,Clermont-Ferrand
63118,Cébazat
64240,Ayherre
64510,Angaïs
66000,Perpignan
66530,Claira
67000,Strasbourg
67230,Benfeld
67290,Erckartswiller
67300,Schiltigheim
67600,Baldenheim
69001,Lyon
69002,Lyon
69003,Lyon
69005,Lyon
69007,Lyon
69009,Lyon
69100,Villeurbanne
69190,Saint-Fons
69300,Caluire-et-Cuire
69760,Limonest
69800,Saint-Priest
70000,Andelarre
72000,Le Mans
73000,Barberaz
73190,Apremont
73200,Albertville
74000,Annecy
74210,Chevaline
74460,Marnaz
75001,Paris
75002,Paris
75003,Paris
75008,Paris
75009,Paris
75010,Paris
75012,Paris
75013,Paris
75014,Paris
75015,Paris
75016,Paris
75017,Paris
76000,Rouen
77000,Livry-sur-Seine
77150,Férolles-Attilly
77184,Émerainville
77310,Boissise-le-Roi
77600,Bussy-Saint-Georges
78000,Versailles
78140,Vélizy-Villacoublay
78180,Montigny-le-Bretonneux
78200,Boinvilliers
78280,Guyancourt
78300,Poissy
78370,Plaisir
78860,Saint-Nom-la-Bretèche
78960,Voisins-le-Bretonneux
78990,Élancourt
79000,Bessines
81000,Albi
81310,Lisle-sur-Tarn
82160,Castanet
83000,Toulon
84000,Avignon
85500,Beaurepaire
86360,Chasseneuil-du-Poitou
91000,Évry-Courcouronnes
91130,Ris-Orangis
91190,Gif-sur-Yvette
91300,Massy
91810,Vert-le-Grand
92000,Nanterre
92100,Boulogne-Billancourt
92110,Clichy
92120,Montrouge
92130,Issy-les-Moulineaux
92160,Antony
92200,Neuilly-sur-Seine
92210,Saint-Cloud
92240,Malakoff
92250,La Garenne-Colombes
92270,Bois-Colombes
92300,Levallois-Perret
92320,Châtillon
92340,Bourg-la-Reine
92350,Le Plessis-Robinson
92390,Villeneuve-la-Garenne
92400,Courbevoie
92500,Rueil-Malmaison
92800,Puteaux
93110,Rosny-sous-Bois
93160,Noisy-le-Grand
93260,Les Lilas
93380,Saint-Denis
93400,Saint-Ouen-sur-Seine
93410,Vaujours
94000,Créteil
94110,Arcueil
94120,Fontenay-sous-Bois
94150,Rungis
94160,Saint-Mandé
94200,Ivry-sur-Seine
94220,Charenton-le-Pont
94260,Fresnes
94270,Le Kremlin-Bicêtre
94400,Vitry-sur-Seine
94410,Saint-Maurice
94490,Ormesson-sur-Marne
94600,Choisy-le-Roi
94800,Villejuif
95000,Boisemont
95130,Franconville
95350,Piscop
97140,Capesterre-de-Marie-Galante
97400,Saint-Denis
99999,NON_RESOLU
