variante,domaine_canonique
gouvernance des données,Gouvernance des données
Gouvernance des données,Gouvernance des données
Data Governance,Gouvernance des données
Data governance,Gouvernance des données
analyse de données,Analyse de données
Data Analysis,Analyse de données
Data analysis,Analyse de données
Analyse de données,Analyse de données
data analysis,Analyse de données
Machine Learning,Machine Learning
machine learning,Machine Learning
qualité des données,Qualité des données
Qualité des données,Qualité des données
Data Quality,Qualité des données
Business Intelligence,Business Intelligence
BI,Business Intelligence
Data Engineering,Data Engineering
Data engineering,Data Engineering
gestion de projet,Gestion de projet
Gestion de projet,Gestion de projet
Data Science,Data Science
data science,Data Science
Deep Learning,Deep Learning
deep learning,Deep Learning
architecture data,Architecture data
Architecture data,Architecture data
Data Architecture,Architecture data
Cloud,Cloud computing
Cloud computing,Cloud computing
Cloud Computing,Cloud computing
Data Visualization,Data visualisation
Data Visualisation,Data visualisation
